Aug 04 11:17:26.615426 np0000032176 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 04 11:17:26.623204 np0000032176 memory_tracker.sh[44135]: [[[
Aug 04 11:17:26.623912 np0000032176 memory_tracker.sh[44150]: Mon Aug  4 11:17:26 UTC 2025
Aug 04 11:17:26.624033 np0000032176 memory_tracker.sh[44135]: ---
Aug 04 11:17:26.624054 np0000032176 memory_tracker.sh[44135]: memory_tracker low_point: 10811988
Aug 04 11:17:26.624054 np0000032176 memory_tracker.sh[44135]: ---
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: MemTotal:       12245956 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: MemFree:          430680 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: MemAvailable:   10811988 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Buffers:          171524 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Cached:          9855364 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SwapCached:            4 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Active:           812216 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Inactive:        9835908 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Active(anon):     672700 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Inactive(anon):      824 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Active(file):     139516 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Inactive(file):  9835084 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Unevictable:      143580 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Mlocked:          142380 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SwapTotal:       8388604 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SwapFree:        8388080 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Zswap:               336 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Zswapped:             68 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Dirty:            183308 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Writeback:             0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: AnonPages:        764884 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Mapped:           160260 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Shmem:             32440 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: KReclaimable:     732384 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Slab:             868160 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SReclaimable:     732384 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SUnreclaim:       135776 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: KernelStack:        7828 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: PageTables:         9252 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: SecPageTables:         0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: NFS_Unstable:          0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Bounce:                0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: WritebackTmp:          0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: CommitLimit:    14511580 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Committed_AS:    2241916 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: VmallocTotal:   13743895347199 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: VmallocUsed:       29068 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: VmallocChunk:          0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Percpu:             4992 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: HardwareCorrupted:     0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: AnonHugePages:         0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: ShmemHugePages:        0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: ShmemPmdMapped:        0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: FileHugePages:         0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: FilePmdMapped:         0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Unaccepted:            0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: HugePages_Total:       0
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: HugePages_Free:        0
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: HugePages_Rsvd:        0
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: HugePages_Surp:        0
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Hugepagesize:       2048 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: Hugetlb:               0 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: DirectMap4k:      317292 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: DirectMap2M:    11216896 kB
Aug 04 11:17:26.624960 np0000032176 memory_tracker.sh[44152]: DirectMap1G:     3145728 kB
Aug 04 11:17:26.625710 np0000032176 memory_tracker.sh[44135]: ---
Aug 04 11:17:26.634894 np0000032176 memory_tracker.sh[44155]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: SecPageTables:         0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: NFS_Unstable:          0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Bounce:                0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: WritebackTmp:          0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: CommitLimit:    14511580 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Committed_AS:    2967952 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: VmallocTotal:   13743895347199 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: VmallocUsed:       29740 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: VmallocChunk:          0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Percpu:             5088 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: HardwareCorrupted:     0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: AnonHugePages:         0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: ShmemHugePages:        0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: ShmemPmdMapped:        0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: FileHugePages:         0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: FilePmdMapped:         0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Unaccepted:            0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: HugePages_Total:       0
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: HugePages_Free:        0
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: HugePages_Rsvd:        0
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: HugePages_Surp:        0
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Hugepagesize:       2048 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: Hugetlb:               0 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: DirectMap4k:      317292 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: DirectMap2M:    11216896 kB
Aug 04 11:17:46.702844 np0000032176 memory_tracker.sh[48672]: DirectMap1G:     3145728 kB
Aug 04 11:17:46.703596 np0000032176 memory_tracker.sh[44135]: ---
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      43485    3.3          415576          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      18315    1.1          135876          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      46474    1.1          135412      46472   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      46473    1.0          133488      46472   00:00:03        2 wait_woken                keystoneuWSGI worker 1
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      28153    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      42776    0.8          100852          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      11709    0.3           40236      11707   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:        367    0.2           27136          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 04 11:17:46.713717 np0000032176 memory_tracker.sh[48674]:      41544    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      36754    0.2           25600          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:       2683    0.2           25260       2682   00:00:00        2 do_wait                   /usr/bin/python3
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      45259    0.2           24688          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000032176 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032176=http://192.168.1.140:2380 --initial-advertise-peer-urls http://192.168.1.140:2380 --advertise-client-urls http://192.168.1.140:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.140:2379 --log-level=debug
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:       1338    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      17222    0.1           19584          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:       1595    0.1           19332          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      46472    0.1           19328          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      41623    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      46797    0.1           15444      46792   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      30639    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      36790    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      32539    0.1           13924          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:          1    0.1           13624          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 04 11:17:46.714076 np0000032176 memory_tracker.sh[48674]:      46796    0.1           13012      46792   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:        446    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:      11707    0.1           12672          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:       4869    0.1           12288       2686   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-04-110613
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:       4874    0.1           12288       2686   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-04-110613.summary.2025-08-04-110613
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:      46875    0.0           12160          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:       2686    0.0           11520       2684   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:      48581    0.0           11520      48533   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user fb06239716bb4fea9906ec117438352e --project b0801017b897454bb008f0295cb6316b
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:      48631    0.0           11520      48614   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role member --user fb06239716bb4fea9906ec117438352e --project 9d7eed0c32ab4e3fb81362032203da35 -c Role -f value
Aug 04 11:17:46.714299 np0000032176 memory_tracker.sh[48674]:      48649    0.0           11520      48632   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user 9220f4432f774b8c95437d80b24274b9 --project 9d7eed0c32ab4e3fb81362032203da35 -c Role -f value
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48667    0.0           11520      48650   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role anotherrole --user fb06239716bb4fea9906ec117438352e --project 9d7eed0c32ab4e3fb81362032203da35 -c Role -f value
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:       1454    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48613    0.0           11392      48596   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo_reader --password secretadmin --domain=default --email=demo_reader@example.com --or-show -f value -c id
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48596    0.0           10412      48587   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48587    0.0           10284       2686   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48245    0.0           10024       2686   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48341    0.0           10024       2686   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48437    0.0           10024       2686   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48533    0.0           10024       2686   00:00:00        1 do_wait                   bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      39021    0.0            9964       2686   00:00:00        1 do_wait                   bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48614    0.0            9768      48245   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48632    0.0            9768      48341   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      48650    0.0            9768      48437   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 04 11:17:46.714425 np0000032176 memory_tracker.sh[48674]:      46792    0.0            9528          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:        847    0.0            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:        533    0.0            8832          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:      28645    0.0            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:      28718    0.0            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:      28494    0.0            8204          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:        885    0.0            8064          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Aug 04 11:17:46.714607 np0000032176 memory_tracker.sh[48674]:        448    0.0            7936          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:       1343    0.0            7936          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      30406    0.0            7936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      28839    0.0            7460          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:        379    0.0            7424          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      28099    0.0            7348          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:       2657    0.0            6956       2647   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:       2681    0.0            6784       2680   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-yxtffhgxghgveqcigrmvqvgxuvtjvtmq ; /usr/bin/python3
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      41547    0.0            6768      41544   00:00:00        1 ep_poll                   smbd: notifyd .
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      41548    0.0            6128      41544   00:00:00        1 ep_poll                   smbd: cleanupd
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:        523    0.0            5504          1   00:00:01        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Aug 04 11:17:46.714710 np0000032176 memory_tracker.sh[48674]:      15706    0.0            5376          1   00:00:00        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:        439    0.0            5052          1   00:00:00        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      48673    0.0            4224      44135   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      40420    0.0            4096          1   00:00:00        1 do_poll.constprop.0       /sbin/rpcbind -f -w
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      41020    0.0            3712          1   00:00:00        1 ep_poll                   /usr/sbin/fsidd
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      44135    0.0            3456          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      44625    0.0            3456          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/file_tracker.sh
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      28911    0.0            3380          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:       1455    0.0            3264       1454   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:        706    0.0            3200          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp3s0.pid -lf /var/lib/dhcp/dhclient.enp3s0.leases -I -df /var/lib/dhcp/dhclient6.enp3s0.leases enp3s0
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:        993    0.0            3200          1   00:00:00        1 do_select                 dhclient
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:      18200    0.0            3200          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Aug 04 11:17:46.714842 np0000032176 memory_tracker.sh[48674]:        707    0.0            2944          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp4s0.pid -lf /var/lib/dhcp/dhclient.enp4s0.leases -I -df /var/lib/dhcp/dhclient6.enp4s0.leases enp4s0
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:       5554    0.0            2896          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:      41037    0.0            2816          1   00:00:00        1 ep_poll                   /usr/sbin/nfsdcld
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:       1004    0.0            2688          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:       1010    0.0            2432          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:      41028    0.0            2304          1   00:00:00        1 ep_poll                   /usr/sbin/rpc.idmapd
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:      30522    0.0            2220          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:       1021    0.0            2176          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:      48674    0.0            2176      44135   00:00:00        1 pipe_read                 grep -v ]$
Aug 04 11:17:46.714997 np0000032176 memory_tracker.sh[48674]:      41030    0.0            2060          1   00:00:00        1 do_select                 /usr/sbin/rpc.statd
